Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Mon Dec 31 2012,Indiana,69,Iowa,65,,
Mon Dec 31 2012,Michigan St.,63,Minnesota,76,,
Wed Jan 2 2013,Nebraska,44,Ohio St.,70,,
Wed Jan 2 2013,Illinois,61,Purdue,68,,
Thu Jan 3 2013,Michigan,94,Northwestern,66,,
Thu Jan 3 2013,Penn St.,51,Wisconsin,60,,
Sat Jan 5 2013,Ohio St.,55,Illinois,74,,
Sat Jan 5 2013,Purdue,61,Michigan St.,84,,
Sun Jan 6 2013,Iowa,67,Michigan,95,,
Sun Jan 6 2013,Northwestern,51,Minnesota,69,,
Sun Jan 6 2013,Wisconsin,47,Nebraska,41,,
Mon Jan 7 2013,Indiana,74,Penn St.,51,,
Tue Jan 8 2013,Ohio St.,74,Purdue,64,,
Wed Jan 9 2013,Minnesota,84,Illinois,67,,
Wed Jan 9 2013,Nebraska,47,Michigan,62,,
Thu Jan 10 2013,Michigan St.,62,Iowa,59,,
Thu Jan 10 2013,Northwestern,70,Penn St.,54,,
Sat Jan 12 2013,Minnesota,81,Indiana,88,,
Sat Jan 12 2013,Illinois,51,Wisconsin,74,,
Sun Jan 13 2013,Nebraska,56,Michigan St.,66,,
Sun Jan 13 2013,Iowa,70,Northwestern,50,,
Sun Jan 13 2013,Michigan,53,Ohio St.,56,,
Sun Jan 13 2013,Penn St.,42,Purdue,60,,
Tue Jan 15 2013,Wisconsin,64,Indiana,59,,
Wed Jan 16 2013,Purdue,65,Nebraska,56,,
Wed Jan 16 2013,Michigan St.,81,Penn St.,72,,
Thu Jan 17 2013,Northwestern,68,Illinois,54,,
Thu Jan 17 2013,Michigan,83,Minnesota,75,,
Sat Jan 19 2013,Wisconsin,66,Iowa,70,,
Sat Jan 19 2013,Ohio St.,56,Michigan St.,59,,
Sat Jan 19 2013,Nebraska,68,Penn St.,64,,
Sun Jan 20 2013,Indiana,67,Northwestern,59,,
Tue Jan 22 2013,Illinois,71,Nebraska,51,,
Tue Jan 22 2013,Iowa,63,Ohio St.,72,,
Tue Jan 22 2013,Michigan St.,49,Wisconsin,47,,
Wed Jan 23 2013,Penn St.,49,Indiana,72,,
Wed Jan 23 2013,Minnesota,48,Northwestern,55,,
Thu Jan 24 2013,Purdue,53,Michigan,68,,
Sat Jan 26 2013,Northwestern,49,Nebraska,64,,
Sat Jan 26 2013,Ohio St.,65,Penn St.,51,,
Sat Jan 26 2013,Minnesota,44,Wisconsin,45,,
Sun Jan 27 2013,Michigan,74,Illinois,60,,
Sun Jan 27 2013,Michigan St.,70,Indiana,75,,
Sun Jan 27 2013,Iowa,62,Purdue,65,OT,
Tue Jan 29 2013,Nebraska,65,Minnesota,84,,
Tue Jan 29 2013,Wisconsin,49,Ohio St.,58,,
Wed Jan 30 2013,Northwestern,46,Michigan,68,,
Wed Jan 30 2013,Indiana,97,Purdue,60,,
Thu Jan 31 2013,Penn St.,67,Iowa,76,,
Thu Jan 31 2013,Illinois,75,Michigan St.,80,,
Sat Feb 2 2013,Michigan,73,Indiana,81,,
Sat Feb 2 2013,Ohio St.,63,Nebraska,56,,
Sat Feb 2 2013,Purdue,60,Northwestern,75,,
Sun Feb 3 2013,Wisconsin,74,Illinois,68,,
Sun Feb 3 2013,Iowa,59,Minnesota,62,,
Tue Feb 5 2013,Ohio St.,74,Michigan,76,OT,
Tue Feb 5 2013,Purdue,58,Penn St.,49,,
Wed Feb 6 2013,Minnesota,50,Michigan St.,61,,
Wed Feb 6 2013,Iowa,70,Wisconsin,74,2OT,
Thu Feb 7 2013,Indiana,72,Illinois,74,,
Sat Feb 9 2013,Northwestern,57,Iowa,71,,
Sat Feb 9 2013,Penn St.,53,Nebraska,67,,
Sat Feb 9 2013,Michigan St.,78,Purdue,65,,
Sat Feb 9 2013,Michigan,62,Wisconsin,65,OT,
Sun Feb 10 2013,Illinois,57,Minnesota,53,,
Sun Feb 10 2013,Indiana,81,Ohio St.,68,,
Tue Feb 12 2013,Michigan,52,Michigan St.,75,,
Wed Feb 13 2013,Purdue,59,Illinois,79,,
Wed Feb 13 2013,Nebraska,47,Indiana,76,,
Thu Feb 14 2013,Wisconsin,53,Minnesota,58,OT,
Thu Feb 14 2013,Northwestern,59,Ohio St.,69,,
Thu Feb 14 2013,Iowa,74,Penn St.,72,,
Sat Feb 16 2013,Purdue,55,Indiana,83,,
Sat Feb 16 2013,Michigan St.,73,Nebraska,64,,
Sun Feb 17 2013,Minnesota,51,Iowa,72,,
Sun Feb 17 2013,Penn St.,71,Michigan,79,,
Sun Feb 17 2013,Illinois,62,Northwestern,41,,
Sun Feb 17 2013,Ohio St.,49,Wisconsin,71,,
Tue Feb 19 2013,Indiana,72,Michigan St.,68,,
Wed Feb 20 2013,Wisconsin,69,Northwestern,41,,
Wed Feb 20 2013,Minnesota,45,Ohio St.,71,,
Thu Feb 21 2013,Penn St.,59,Illinois,64,,
Sat Feb 23 2013,Iowa,60,Nebraska,64,,
Sun Feb 24 2013,Illinois,58,Michigan,71,,
Sun Feb 24 2013,Michigan St.,60,Ohio St.,68,,
Sun Feb 24 2013,Northwestern,43,Purdue,74,,
Tue Feb 26 2013,Indiana,73,Minnesota,77,,
Tue Feb 26 2013,Nebraska,46,Wisconsin,77,,
Wed Feb 27 2013,Purdue,48,Iowa,58,,
Wed Feb 27 2013,Michigan,78,Penn St.,84,,
Thu Feb 28 2013,Ohio St.,63,Northwestern,53,,
Sat Mar 2 2013,Nebraska,65,Illinois,72,,
Sat Mar 2 2013,Iowa,60,Indiana,73,,
Sat Mar 2 2013,Penn St.,44,Minnesota,73,,
Sun Mar 3 2013,Michigan St.,57,Michigan,58,,
Sun Mar 3 2013,Purdue,69,Wisconsin,56,,
Tue Mar 5 2013,Ohio St.,67,Indiana,58,,
Tue Mar 5 2013,Illinois,55,Iowa,63,,
Wed Mar 6 2013,Minnesota,51,Nebraska,53,,
Wed Mar 6 2013,Michigan,80,Purdue,75,,
Thu Mar 7 2013,Wisconsin,43,Michigan St.,58,,
Thu Mar 7 2013,Penn St.,66,Northwestern,59,,
Sat Mar 9 2013,Nebraska,60,Iowa,74,,
Sat Mar 9 2013,Minnesota,73,Purdue,89,,
Sun Mar 10 2013,Indiana,72,Michigan,71,,
Sun Mar 10 2013,Northwestern,61,Michigan St.,71,,
Sun Mar 10 2013,Illinois,55,Ohio St.,68,,
Sun Mar 10 2013,Wisconsin,63,Penn St.,60,,
